CITY_NAME;DISTRICT_NAME;NEIGHBORHOOD_NAME;MARITAL_STATUS;POPULATION_MALE_2022;POPULATION_FEMALE_2022;POPULATION_MALE_2023;POPULATION_FEMALE_2023
IZMIR;URLA;SIRINKENT;NEVER MARRIED;204;150;192;140
IZMIR;URLA;SIRINKENT;MARRIED;567;554;545;533
IZMIR;URLA;SIRINKENT;DIVORCED;39;55;35;56
IZMIR;URLA;SIRINKENT;WIDOWED;15;67;;
IZMIR;URLA;M.FEVZI CAKMAK;NEVER MARRIED;346;293;340;297
IZMIR;URLA;M.FEVZI CAKMAK;MARRIED;874;886;868;903
IZMIR;URLA;M.FEVZI CAKMAK;DIVORCED;75;138;78;145
IZMIR;URLA;M.FEVZI CAKMAK;WIDOWED;19;128;15;135
IZMIR;URLA;BADEMLER;NEVER MARRIED;242;162;226;165
IZMIR;URLA;BADEMLER;MARRIED;611;608;639;637
IZMIR;URLA;BADEMLER;DIVORCED;67;80;71;84
IZMIR;URLA;BADEMLER;WIDOWED;21;109;21;104
IZMIR;URLA;BALIKLIOVA;NEVER MARRIED;142;62;139;71
IZMIR;URLA;BALIKLIOVA;MARRIED;349;303;356;314
IZMIR;URLA;BALIKLIOVA;DIVORCED;63;42;63;51
IZMIR;URLA;BALIKLIOVA;WIDOWED;20;71;21;78
IZMIR;URLA;DEMIRCILI;NEVER MARRIED;25;22;37;25
IZMIR;URLA;DEMIRCILI;MARRIED;78;68;86;83
IZMIR;URLA;DEMIRCILI;DIVORCED;;;;
IZMIR;URLA;DEMIRCILI;WIDOWED;;;;
IZMIR;URLA;KUSCULAR;NEVER MARRIED;362;217;387;228
IZMIR;URLA;KUSCULAR;MARRIED;1015;962;1097;1042
IZMIR;URLA;KUSCULAR;DIVORCED;82;74;94;95
IZMIR;URLA;KUSCULAR;WIDOWED;31;114;35;124
IZMIR;URLA;OVACIK;NEVER MARRIED;19;17;23;16
IZMIR;URLA;OVACIK;MARRIED;41;39;47;43
IZMIR;URLA;OVACIK;DIVORCED;;;;
IZMIR;URLA;OVACIK;WIDOWED;;;;
IZMIR;URLA;YAGCILAR;NEVER MARRIED;46;45;48;46
IZMIR;URLA;YAGCILAR;MARRIED;179;174;178;164
IZMIR;URLA;YAGCILAR;DIVORCED;20;28;19;27
IZMIR;URLA;YAGCILAR;WIDOWED;;;;
IZMIR;URLA;UZUNKUYU;NEVER MARRIED;75;35;83;35
IZMIR;URLA;UZUNKUYU;MARRIED;111;105;117;112
IZMIR;URLA;UZUNKUYU;DIVORCED;;;;
IZMIR;URLA;UZUNKUYU;WIDOWED;;;;
IZMIR;URLA;BARBAROS;NEVER MARRIED;42;23;46;25
IZMIR;URLA;BARBAROS;MARRIED;117;109;125;112
IZMIR;URLA;BARBAROS;DIVORCED;;;16;18
IZMIR;URLA;BARBAROS;WIDOWED;;;;
IZMIR;URLA;BIRGI;NEVER MARRIED;;;;
IZMIR;URLA;BIRGI;MARRIED;48;40;54;51
IZMIR;URLA;BIRGI;DIVORCED;;;;
IZMIR;URLA;BIRGI;WIDOWED;;;;
IZMIR;URLA;KADIOVACIK;NEVER MARRIED;32;18;37;20
IZMIR;URLA;KADIOVACIK;MARRIED;89;79;97;87
IZMIR;URLA;KADIOVACIK;DIVORCED;;;;
IZMIR;URLA;KADIOVACIK;WIDOWED;;;;
IZMIR;URLA;NOHUTALAN;NEVER MARRIED;29;18;30;16
IZMIR;URLA;NOHUTALAN;MARRIED;45;44;46;44
IZMIR;URLA;NOHUTALAN;DIVORCED;;;;
IZMIR;URLA;NOHUTALAN;WIDOWED;;;;
IZMIR;URLA;ZEYTINELI;NEVER MARRIED;45;25;51;33
IZMIR;URLA;ZEYTINELI;MARRIED;127;115;150;134
IZMIR;URLA;ZEYTINELI;DIVORCED;;;;
IZMIR;URLA;ZEYTINELI;WIDOWED;;;;
IZMIR;URLA;ZEYTINLER;NEVER MARRIED;60;30;59;29
IZMIR;URLA;ZEYTINLER;MARRIED;110;103;114;105
IZMIR;URLA;ZEYTINLER;DIVORCED;;;;
IZMIR;URLA;ZEYTINLER;WIDOWED;;;;
IZMIR;URLA;OZBEK;NEVER MARRIED;143;94;155;95
IZMIR;URLA;OZBEK;MARRIED;476;462;485;474
IZMIR;URLA;OZBEK;DIVORCED;74;61;67;67
IZMIR;URLA;OZBEK;WIDOWED;26;108;24;117
